Persona;Oficio/Ocupación;País
Álvaro de Predes;1. Repartidor de indios en el pueblo de Tacuba, alcalde mayor y corregidor del pueblo de Tehuacán, alcalde mayor de Chilapa y contador de la hacienda real de la provincia de Chilapa;1. México
Gutierre Espadero;2. Licenciado;2. España
Juan Tejado;3. Eclesiástico;2. España
Martín de Jirapu;99. Desconocido;2. España
Bonilla;4. Inquisidor del Tribunal del Santo Oficio;1. México
Franciso de Sande;5. Oidor de la audiencia de México, presidente de la Audiencia de Guatemala y presidente, gobernador y capitán del Nuevo Reino de Granada;1. México
Esteban de Porras;6. Relator de la Audiencia de México;1. México
Santos García;4. Inquisidor del Tribunal del Santo Oficio;1. México
Sancho Flores;2. Licenciado;1. México
Diego López Bueno;7. Alcalde de corte en México;1. México
Alonso Martínez Espadero;8. Miembro del Consejo de Indias;2. España
Juan Beltrán de Guevara;8. Miembro del Consejo de Indias;2. España
Francisco de Ávila;9. Comisario General Cruzada;2. España
Juan Gómez de la Cámara;8. Miembro del Consejo de Indias;2. España
Juan de Frías;8. Miembro del Consejo de Indias;2. España
de Mendoça;10. Hidalgo;2. España
Toribio de Castro;99. Desconocido;2. España
Juan de Toledo;99. Desconocido;2. España
Leonel de Cuadros;99. Desconocido;2. España
Mariana de Carvajal;99. Desconocido;2. España
Cristóbal de Barrionuevo;11. Agente-encomendero  de Mariana de Carvajal;2. España
Antonio de Saavedra;99. Desconocido;1. México
Beatriz de Sotomayor;99. Desconocido;1. México
Juan de Luján;12. Agente de la marquesa del valle;2. España
Fernando de Monroy;99. Desconocido;2. España
fray Gerónimo;3. Eclesiástico;2. España
Alonso Barrantes;3. Eclesiástico;2. España
Fernando Mexía;10. Hidalgo;1. México
Martín López de Arenchi;99. Desconocido;1. México
Alonso de Berrio;99. Desconocido;1. México