Persona;Oficio;País
Álvaro de Predes;1;1
Gutierre Espadero;2;2
Juan Tejado;3;2
Martín de Jirapu;99;2
Bonilla;4;1
Franciso de Sande;5;1
Esteban de Porras;6;1
Santos García;4;1
Sancho Flores;2;1
Diego López Bueno;7;1
Alonso Martínez Espadero;8;2
Juan Beltrán de Guevara;8;2
Francisco de Ávila;9;2
Juan Gómez de la Cámara;8;2
Juan de Frías;8;2
de Mendoça;10;2
Toribio de Castro;99;2
Juan de Toledo;99;2
Leonel de Cuadros;99;2
Mariana de Carvajal;99;2
Cristóbal de Barrionuevo;11;2
Antonio de Saavedra;99;1
Beatriz de Sotomayor;99;1
Juan de Luján;12;2
Fernando de Monroy;99;2
fray Gerónimo;3;2
Alonso Barrantes;3;2
Fernando Mexía;10;1
Martín López de Arenchi;99;1
Alonso de Berrio;99;1